parlare	parlo	V;IND;PRS;1;SG
parlare	parli	V;IND;PRS;2;SG
parlare	parla	V;IND;PRS;3;SG
parlare	parliamo	V;IND;PRS;1;PL
parlare	parlate	V;IND;PRS;2;PL
parlare	parlano	V;IND;PRS;3;PL
parlare	parlavo	V;IND;IPFV;1;SG
parlare	parlavi	V;IND;IPFV;2;SG
parlare	parlava	V;IND;IPFV;3;SG
parlare	parlavamo	V;IND;IPFV;1;PL
parlare	parlavate	V;IND;IPFV;2;PL
parlare	parlavano	V;IND;IPFV;3;PL
parlare	parlai	V;IND;PST;1;SG
parlare	parlasti	V;IND;PST;2;SG
parlare	parlò	V;IND;PST;3;SG
parlare	parlammo	V;IND;PST;1;PL
parlare	parlaste	V;IND;PST;2;PL
parlare	parlarono	V;IND;PST;3;PL
parlare	parlerò	V;IND;FUT;1;SG
parlare	parlerai	V;IND;FUT;2;SG
parlare	parlerà	V;IND;FUT;3;SG
parlare	parleremo	V;IND;FUT;1;PL
parlare	parlerete	V;IND;FUT;2;PL
parlare	parleranno	V;IND;FUT;3;PL
essere	sono	V;IND;PRS;1;SG
essere	sei	V;IND;PRS;2;SG
essere	è	V;IND;PRS;3;SG
essere	siamo	V;IND;PRS;1;PL
essere	siete	V;IND;PRS;2;PL
essere	sono	V;IND;PRS;3;PL
essere	ero	V;IND;IPFV;1;SG
essere	eri	V;IND;IPFV;2;SG
essere	era	V;IND;IPFV;3;SG
essere	eravamo	V;IND;IPFV;1;PL
essere	eravate	V;IND;IPFV;2;PL
essere	erano	V;IND;IPFV;3;PL
avere	ho	V;IND;PRS;1;SG
avere	hai	V;IND;PRS;2;SG
avere	ha	V;IND;PRS;3;SG
avere	abbiamo	V;IND;PRS;1;PL
avere	avete	V;IND;PRS;2;PL
avere	hanno	V;IND;PRS;3;PL
casa	casa	N;SG
casa	case	N;PL
libro	libro	N;SG
libro	libri	N;PL
bello	bello	ADJ;MASC;SG
bello	bella	ADJ;FEM;SG
bello	belli	ADJ;MASC;PL
bello	belle	ADJ;FEM;PL
